"","Date","T","s32","s35","s40","s8","s5","Year"
"195","12-07","05:20",55595.57049,65641.65599,60403.6406,72420.86645,68860.12946,"2017"
"196","12-07","05:30",57919.59993,65189.42471,60028.26326,68822.6478,67588.78107,"2017"
"197","12-07","05:40",68619.52012,76580.00162,64454.13211,78708.4015,55479.11001,"2017"
"198","12-07","05:50",66841.71845,68980.26041,66329.06795,67981.97897,63873.54139,"2017"
"199","12-07","06:00",60489.29411,63466.34146,57121.89504,65135.64439,60234.60564,"2017"
"200","12-07","06:10",62299.58408,73649.46654,60447.71074,66201.1862,61647.41702,"2017"
"201","12-07","06:20",61118.10984,63639.74627,56314.52198,70634.87124,56305.26645,"2017"
"202","12-07","06:30",70764.63091,62264.99478,57890.20091,63484.777,63302.39481,"2017"
"203","12-07","06:40",62075.2165,62227.80673,58025.08955,66779.39386,69142.29577,"2017"
"204","12-07","06:50",56779.19158,67401.32323,57428.08858,78582.29497,63210.48251,"2017"
"205","12-07","07:00",56632.0134,81334.92055,61961.44746,65732.43637,64822.38571,"2017"
"206","12-07","07:10",64852.64114,62351.65051,56987.96363,68283.61925,60006.35352,"2017"
"207","12-07","07:20",56142.76421,66322.15767,61461.81944,79630.93922,58589.51809,"2017"
"208","12-07","07:30",65824.30325,70597.84941,60953.13172,64554.286,55902.60943,"2017"
"209","12-07","07:40",54938.40324,68156.87921,69681.99083,63586.95779,59033.78483,"2017"
"210","12-07","07:50",61993.77598,66120.13052,58736.04641,68254.24207,63215.53663,"2017"
"211","12-07","08:00",57395.44932,68697.5172,55649.83013,59380.23817,59221.67836,"2017"
"212","12-07","08:10",56492.34078,65173.93585,58557.59448,64105.98444,69474.02118,"2017"
"213","12-07","08:20",58746.31498,61996.2805,59971.68626,66345.31897,67352.47825,"2017"
"214","12-07","08:30",62022.18116,63270.68914,62855.39006,72919.63828,65816.47426,"2017"
"215","12-07","08:40",63129.84158,64253.14319,60813.40689,67881.15474,67246.01323,"2017"
"216","12-07","08:50",62604.72631,64214.39129,59510.38698,75971.09,59238.57223,"2017"
"217","12-07","09:00",57296.31215,67874.29271,61351.73652,70492.58847,58431.02177,"2017"
"218","12-07","09:10",58345.40233,64779.15298,64605.7804,61332.20469,64174.85178,"2017"
"219","12-07","09:20",58262.16589,65423.90364,62967.19153,70948.41615,69802.47128,"2017"
"220","12-07","09:30",71095.45668,59030.26485,56699.31776,69117.00635,74921.55861,"2017"
"221","12-07","09:40",72350.95824,64018.72544,57293.75538,68130.24192,65143.35655,"2017"
"222","12-07","09:50",55643.21864,69873.3871,65712.45959,70184.40978,70019.76032,"2017"
"223","12-07","10:00",57142.26294,71206.59909,56126.90227,65651.55942,61411.88924,"2017"
"224","12-07","10:10",57457.16294,69427.18571,57264.73938,72207.1474,66477.08199,"2017"
"225","12-07","10:20",71833.67856,65177.48962,70295.68947,66595.82596,64157.23164,"2017"
"226","12-07","10:30",69793.682,61601.80591,57694.39086,64723.76987,61667.84849,"2017"
"227","12-07","10:40",58744.19353,59414.43954,65657.18724,76225.60773,71979.55365,"2017"
"228","12-07","10:50",59020.55726,64202.61355,55967.67839,62797.23426,61886.37611,"2017"
"229","12-07","11:00",56383.95583,64206.03936,59555.56394,75284.86981,59159.50067,"2017"
"230","12-07","11:10",71764.37414,60889.61978,62453.5172,68160.25365,56563.21367,"2017"
"231","12-07","11:20",64263.05451,61398.13537,54571.16056,65246.65405,58787.78994,"2017"
"232","12-07","11:30",54801.4631,59911.33075,56212.34722,61437.15398,62088.04763,"2017"
"233","12-07","11:40",55605.2825,57289.75538,61803.39936,66096.01082,60391.45553,"2017"
"234","12-07","11:50",63680.40633,60538.85189,56845.62025,65019.28897,64331.07955,"2017"
"235","12-07","12:00",57423.11729,62899.34695,60856.93614,65146.91014,63114.85161,"2017"
"236","12-07","12:10",56036.65428,68857.8929,57312.94586,66151.25118,60165.47901,"2017"
"237","12-07","12:20",58937.29868,61808.64896,59689.79012,63857.68794,69054.54312,"2017"
"238","12-07","12:30",68023.98483,60144.80457,58659.52605,66418.65049,60520.85527,"2017"
"239","12-07","12:40",50899.74245,61398.73123,57617.61868,64407.5043,63900.23962,"2017"
"240","12-07","12:50",55405.83283,64937.21747,55679.42367,67322.92012,63501.41927,"2017"
"241","12-07","13:00",63677.82941,63936.81758,59151.43854,70087.43286,67139.87742,"2017"
"242","12-07","13:10",60440.72084,68085.92358,71964.12645,65434.09282,61001.6542,"2017"
"243","12-07","13:20",60420.46877,65878.00325,64764.38554,67784.13726,61795.75715,"2017"
"244","12-07","13:30",59540.37927,65092.99151,61373.24558,66065.00723,59508.96219,"2017"
"245","12-07","13:40",61202.53074,65590.15996,55825.52345,70609.71935,59916.60658,"2017"
"246","12-07","13:50",64159.45852,65047.6717,62370.05109,84057.70344,64861.64958,"2017"
"247","12-07","14:00",59787.79135,72052.2593,59988.56477,64429.81729,67126.14441,"2017"
"248","12-07","14:10",60609.34234,62563.23268,56437.01191,67626.55084,73801.8204,"2017"
"249","12-07","14:20",63017.0035,63374.77521,59997.59585,68732.0614,65432.52602,"2017"
"250","12-07","14:30",64377.61806,64749.67471,69494.3876,70983.21217,73611.96286,"2017"
"251","12-07","14:40",62467.05822,83849.73623,55560.81164,65947.2759,75248.53785,"2017"
"252","12-07","14:50",56455.36671,75421.78024,54106.8761,68510.26414,77822.93263,"2017"
"253","12-07","15:00",56335.53086,68949.19784,55769.23913,80781.08334,64458.82508,"2017"
"254","12-07","15:10",63010.47921,63569.18085,63957.57732,65945.98367,64173.46625,"2017"
"255","12-07","15:20",70693.00819,73756.716,57181.69046,72839.76812,59173.90153,"2017"
"256","12-07","15:30",69188.88753,67868.22366,62010.67842,73713.14705,62876.3758,"2017"
"257","12-07","15:40",57058.26687,68486.16145,57451.56048,69270.67156,60763.71637,"2017"
"258","12-07","15:50",58603.69285,62661.72201,55607.60206,70796.05155,61514.70565,"2017"
"259","12-07","16:00",56576.59345,69407.48646,58395.62474,80460.68009,60693.50494,"2017"
"260","12-07","16:10",71327.9854,61590.36279,62813.11636,64154.46519,59043.40195,"2017"
"261","12-07","16:20",67328.0024,58738.97793,57580.53494,70326.47786,60368.69786,"2017"
"262","12-07","16:30",67921.93075,70521.81118,69489.45237,71620.59265,67861.08548,"2017"
"263","12-07","16:40",60480.98928,58477.44849,62714.78484,67202.22514,64322.66743,"2017"
"264","12-07","16:50",55363.92609,70209.53631,58596.37962,66070.16763,62757.86758,"2017"
"265","12-07","17:00",61493.15358,58430.6467,59803.52355,66532.96945,64014.43894,"2017"
"266","12-07","17:10",64837.84662,59568.16026,56149.48371,68408.91005,59297.87717,"2017"
"267","12-07","17:20",60785.07924,60997.77284,57764.62499,65745.36757,64085.25018,"2017"
"268","12-07","17:30",55789.68758,58795.26459,63484.27061,69158.89563,64515.66587,"2017"
"269","12-07","17:40",58170.21949,59830.43703,54313.61135,66479.77112,61443.2941,"2017"
"270","12-07","17:50",54297.98398,71460.62052,61227.13598,66607.66333,60308.89084,"2017"
"271","12-07","18:00",64391.76501,77956.62631,65431.16554,61937.01438,64807.16555,"2017"
"272","12-07","18:10",62239.81576,70234.3562,63876.03985,70368.64862,63212.40514,"2017"
"273","12-07","18:20",60605.13681,71106.88845,66420.77967,66436.65669,61570.39151,"2017"
"274","12-07","18:30",62871.64697,70899.0736,63252.17285,63464.65119,64388.75948,"2017"
"275","12-07","18:40",61752.88493,69981.39074,70607.78282,71972.39583,76926.93838,"2017"
"276","12-07","18:50",63551.2966,63715.87635,58979.00577,74750.08412,74000.3639,"2017"
"277","12-07","19:00",60491.82566,66052.51465,55896.73488,64643.07801,65848.85715,"2017"
"278","12-07","19:10",66898.65914,71415.1488,73945.91989,67510.33356,61941.51083,"2017"
"279","12-07","19:20",59941.2118,68821.47928,65455.1449,66529.02491,62961.32506,"2017"
"280","12-07","19:30",58755.81054,66320.99412,61074.60678,68121.09572,66512.58649,"2017"
"281","12-07","19:40",66610.46914,63958.24707,58053.31415,70727.32016,67814.05482,"2017"
"282","12-07","19:50",56669.87055,62287.94079,56861.30332,65010.72571,67688.48573,"2017"
"283","12-07","20:10",61317.77511,69440.37351,59112.9478,69033.57731,62564.41832,"2017"
"284","12-07","20:20",59484.94048,62617.60439,58521.04563,66047.86146,63578.57241,"2017"
"285","12-07","20:30",57598.01263,61437.95086,64227.469,82236.40238,59107.69612,"2017"
"286","12-07","20:40",76489.86957,71357.13887,55873.03636,71745.57525,66124.09023,"2017"
"287","12-07","20:50",57172.49707,66365.02785,58626.59717,68736.88588,60571.94977,"2017"
"288","12-07","21:00",60919.07771,69423.78057,61068.93183,67352.2428,68323.40332,"2017"
"289","12-07","21:10",62806.77007,65959.00887,58757.32939,68180.9934,66195.44029,"2017"
"290","12-07","21:20",61007.5452,68297.20646,60216.88366,66622.04993,62711.33147,"2017"
"291","12-07","21:30",62514.44112,64776.76816,60187.27761,65810.38942,62437.43034,"2017"
"292","12-07","21:40",63703.14927,65700.22136,68674.52848,62152.39803,62378.3793,"2017"
"293","12-07","21:50",67429.36342,66953.32499,61038.92937,66091.75255,63466.55404,"2017"
"294","12-07","22:00",59133.15056,60018.42911,62591.93722,68787.26547,67868.11271,"2017"
