Year,Month,Day,Hour,Minute,Date,Time,Snaps
2018,6,20,13,0,06/20/2018,13:00:00,1439
2018,6,20,13,15,06/20/2018,13:15:00,1335
2018,6,20,13,30,06/20/2018,13:30:00,1432
2018,6,20,13,45,06/20/2018,13:45:00,1463
2018,6,20,14,0,06/20/2018,14:00:00,1366
2018,6,20,14,15,06/20/2018,14:15:00,1411
2018,6,20,14,30,06/20/2018,14:30:00,1435
2018,6,20,14,45,06/20/2018,14:45:00,1394
2018,6,20,15,0,06/20/2018,15:00:00,1398
2018,6,20,15,15,06/20/2018,15:15:00,1432
2018,6,20,15,30,06/20/2018,15:30:00,1409
2018,6,20,15,45,06/20/2018,15:45:00,1402
2018,6,20,16,0,06/20/2018,16:00:00,1438
2018,6,20,16,15,06/20/2018,16:15:00,1411
2018,6,20,16,30,06/20/2018,16:30:00,1414
2018,6,20,16,45,06/20/2018,16:45:00,1406
2018,6,20,17,0,06/20/2018,17:00:00,1376
2018,6,20,17,15,06/20/2018,17:15:00,1448
2018,6,20,17,30,06/20/2018,17:30:00,1416
2018,6,20,17,45,06/20/2018,17:45:00,1386
2018,6,20,18,0,06/20/2018,18:00:00,1366
2018,6,20,18,15,06/20/2018,18:15:00,1411
2018,6,20,18,30,06/20/2018,18:30:00,1366
2018,6,20,18,45,06/20/2018,18:45:00,1433
2018,6,20,19,0,06/20/2018,19:00:00,1426
2018,6,20,19,15,06/20/2018,19:15:00,1363
2018,6,20,19,30,06/20/2018,19:30:00,1376
2018,6,20,19,45,06/20/2018,19:45:00,1439
2018,6,20,20,0,06/20/2018,20:00:00,1427
2018,6,20,20,15,06/20/2018,20:15:00,1399
2018,6,20,20,30,06/20/2018,20:30:00,1357
2018,6,20,20,45,06/20/2018,20:45:00,1403
2018,6,20,21,0,06/20/2018,21:00:00,1483
2018,6,20,21,15,06/20/2018,21:15:00,1440
2018,6,20,21,30,06/20/2018,21:30:00,1414
2018,6,20,21,45,06/20/2018,21:45:00,1475
2018,6,20,22,0,06/20/2018,22:00:00,1527
2018,6,20,22,15,06/20/2018,22:15:00,1509
2018,6,20,22,30,06/20/2018,22:30:00,1539
2018,6,20,22,45,06/20/2018,22:45:00,1537
2018,6,20,23,0,06/20/2018,23:00:00,1548
2018,6,20,23,15,06/20/2018,23:15:00,1463
2018,6,20,23,30,06/20/2018,23:30:00,1488
2018,6,20,23,45,06/20/2018,23:45:00,1502
2018,6,21,0,0,06/21/2018,00:00:00,1494
2018,6,21,0,15,06/21/2018,00:15:00,1513
2018,6,21,0,30,06/21/2018,00:30:00,1533
2018,6,21,0,45,06/21/2018,00:45:00,1508
2018,6,21,1,0,06/21/2018,01:00:00,1501
2018,6,21,1,15,06/21/2018,01:15:00,1487
2018,6,21,1,30,06/21/2018,01:30:00,1497
2018,6,21,1,45,06/21/2018,01:45:00,1488
2018,6,21,2,0,06/21/2018,02:00:00,1506
2018,6,21,2,15,06/21/2018,02:15:00,1539
2018,6,21,2,30,06/21/2018,02:30:00,1495
2018,6,21,2,45,06/21/2018,02:45:00,1450
2018,6,21,3,0,06/21/2018,03:00:00,1542
2018,6,21,3,15,06/21/2018,03:15:00,1570
2018,6,21,3,30,06/21/2018,03:30:00,1492
2018,6,21,3,45,06/21/2018,03:45:00,1523
2018,6,21,4,0,06/21/2018,04:00:00,1519
2018,6,21,4,15,06/21/2018,04:15:00,1486
2018,6,21,4,30,06/21/2018,04:30:00,1515
2018,6,21,4,45,06/21/2018,04:45:00,1468
2018,6,21,5,0,06/21/2018,05:00:00,1521
