,CREDSpecies,CoarseFG,FineFG,Classifier,Date Classified,Reference,Notes
Holocentridae,Sargocentron ensifer,Carnivore,Invertivore,MD,04/07/2013,Randall,
Holocentridae,Sargocentron microstoma,Carnivore,Invertivore,MD,04/07/2013,Randall,
Holocentridae,Sargocentron punctatissimum,Carnivore,Invertivore,MD,04/07/2013,Randall,
Holocentridae,Sargocentron sp,Carnivore,Invertivore,MD,04/07/2013,,
Holocentridae,Sargocentron spiniferum,Carnivore,Invertivore,MD,04/07/2013,Randall,Also small fishes
Holocentridae,Sargocentron tiere,Carnivore,Invertivore,MD,04/07/2013,Randall,Also fishes
Holocentridae,Sargocentron xantherythrum,Carnivore,Invertivore,MD,04/07/2013,,Assumed from genus
Kuhliidae,Kuhlia sandvicensis,Planktivore,Nocturnal planktivore,MD,04/07/2013,Randall,
Kyphosidae,Kyphosidae sp,Herbivore,Browser,MD,04/07/2013,Green and Bellwood,
Kyphosidae,Kyphosus cinerascens,Herbivore,Browser,MD,04/07/2013,Green and Bellwood,
Kyphosidae,Kyphosus pacificus,Herbivore,Browser,MD,04/07/2013,Green and Bellwood,
Kyphosidae,Kyphosus sandwicensis,Herbivore,Browser,MD,04/07/2013,Green and Bellwood,
Kyphosidae,Kyphosus vaigiensis,Herbivore,Browser,MD,04/07/2013,Green and Bellwood,
Labridae,Anampses caeruleopunctatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Anampses chrysocephalus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Anampses cuvier,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Anampses melanurus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Anampses meleagrides,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Anampses sp,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Anampses twistii,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Bodianus anthioides,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Bodianus axillaris,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Bodianus bilunulatus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Bodianus diana,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Bodianus loxozonus,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Bodianus mesothorax,Carnivore,Invertivore,MD,05/07/2013,Randall,
Labridae,Bodianus prognathus,Carnivore,Invertivore,MD,05/07/2013,Randall,
